"","artist_name","edition_number","year","artist_nationality","artist_nationality_other","artist_gender","artist_race","artist_ethnicity","book","space_ratio_per_page_total","artist_unique_id","moma_count_to_year","whitney_count_to_year","artist_race_nwi"
"55","André Derain",4,1959,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.581335847,20,8,0,"White"
"56","André Derain",5,1970,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7780945014,20,11,0,"White"
"57","André Derain",6,1975,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7423138554,20,12,0,"White"
"58","André Derain",7,1980,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6526175063,20,13,0,"White"
"59","André Derain",8,1986,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6331121708,20,14,0,"White"
"60","André Derain",9,1991,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3290510949,20,14,0,"White"
"61","André Derain",10,1996,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4928208451,20,14,0,"White"
"62","André Derain",11,2001,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3383473075,20,15,0,"White"
"63","André Derain",12,2005,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2403977739,20,16,0,"White"
"64","André Derain",13,2009,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2875040451,20,16,0,"White"
"65","André Derain",14,2013,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3046553557,20,16,0,"White"
"66","André Derain",15,2016,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5660275244,20,16,0,"White"
"67","André Derain",16,2020,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5391353706,20,16,0,"White"
"68","André-Adolphe-Eugène Disdéri",9,1991,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4132197891,23,0,0,"White"
"69","Andreas Gursky",14,2013,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.5056169387,24,2,0,"White"
"70","Andreas Gursky",15,2016,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.4027215092,24,2,0,"White"
"71","Andreas Gursky",16,2020,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.3781449435,24,2,0,"White"
"72","Andrew Wyeth",5,1970,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4397630578,25,0,19,"White"
"73","Andrew Wyeth",6,1975,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4310436919,25,0,19,"White"
"74","Andrew Wyeth",7,1980,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3420524909,25,0,19,"White"
"75","Andrew Wyeth",8,1986,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4847605225,25,0,19,"White"
"76","Andy Warhol",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5286618005,26,2,2,"White"
"77","Andy Warhol",10,1996,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.6503188841,26,4,2,"White"
"78","Andy Warhol",11,2001,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.7978123523,26,5,2,"White"
"79","Andy Warhol",12,2005,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.6681111821,26,6,6,"White"
"80","Andy Warhol",13,2009,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.6576364168,26,6,9,"White"
"81","Andy Warhol",14,2013,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4098747168,26,7,12,"White"
"82","Andy Warhol",15,2016,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4175661048,26,8,13,"White"
"83","Andy Warhol",16,2020,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4174030437,26,8,15,"White"
"84","Angelica Kauffmann",8,1986,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.4794906352,27,0,0,"White"
"85","Angelica Kauffmann",9,1991,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.460729927,27,0,0,"White"
"86","Angelica Kauffmann",10,1996,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.4581187545,27,0,0,"White"
"87","Angelica Kauffmann",11,2001,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.3935403873,27,0,0,"White"
"88","Angelica Kauffmann",12,2005,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.3555180488,27,0,0,"White"
"89","Angelica Kauffmann",13,2009,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.3847718552,27,0,0,"White"
"90","Angelica Kauffmann",14,2013,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.3644769081,27,0,0,"White"
"91","Angelica Kauffmann",15,2016,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.5678985619,27,0,0,"White"
"92","Angelica Kauffmann",16,2020,"Swiss","Other","Female","White","Not Hispanic or Latino origin","Gardner",0.764037187,27,0,0,"White"
"93","Anne Louis Girodet Trioson",5,1970,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4133984677,28,0,0,"White"
"94","Anne Louis Girodet Trioson",6,1975,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4473453691,28,0,0,"White"
"95","Anne Louis Girodet Trioson",7,1980,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3798198705,28,0,0,"White"
"96","Anne Louis Girodet Trioson",8,1986,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3837860253,28,0,0,"White"
"97","Anne Louis Girodet Trioson",9,1991,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2537064071,28,0,0,"White"
"98","Anne Louis Girodet Trioson",10,1996,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2673851506,28,0,0,"White"
"99","Anne Louis Girodet Trioson",11,2001,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.267329948,28,0,0,"White"
"100","Anne Louis Girodet Trioson",12,2005,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2682541131,28,0,0,"White"
"101","Anne Louis Girodet Trioson",13,2009,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3885627109,28,0,0,"White"
"102","Anne Louis Girodet Trioson",14,2013,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.445101937,28,0,0,"White"
"103","Anne Louis Girodet Trioson",15,2016,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3796196072,28,0,0,"White"
"104","Anne Louis Girodet Trioson",16,2020,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3771170839,28,0,0,"White"
"105","Ansel Adams",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4741605839,30,28,0,"White"
"106","Anselm Feuerbach",7,1980,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.3272586547,31,0,0,"White"
"107","Anselm Feuerbach",8,1986,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.2857488424,31,0,0,"White"
"108","Anselm Feuerbach",10,1996,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.3115514478,31,0,0,"White"
"109","Anselm Kiefer",9,1991,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.4305596107,32,2,0,"White"
"110","Anselm Kiefer",10,1996,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.4505473892,32,2,0,"White"
"111","Anselm Kiefer",11,2001,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.5145843174,32,2,0,"White"
"112","Anselm Kiefer",12,2005,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.3830854849,32,2,0,"White"
"113","Anselm Kiefer",13,2009,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.400859877,32,2,0,"White"
"114","Anselm Kiefer",14,2013,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.4172252785,32,2,0,"White"
"115","Anselm Kiefer",15,2016,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.3650688109,32,2,0,"White"
"116","Anselm Kiefer",16,2020,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.3582934462,32,2,0,"White"
"117","Antoine Jean Gros",5,1970,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7380389747,33,0,0,"White"
"118","Antoine Jean Gros",6,1975,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7498771499,33,0,0,"White"
"119","Antoine Jean Gros",7,1980,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6194940895,33,0,0,"White"
"120","Antoine Jean Gros",8,1986,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6439283986,33,0,0,"White"
"121","Antoine Jean Gros",9,1991,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3675263585,33,0,0,"White"
"122","Antoine Jean Gros",10,1996,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4130998261,33,0,0,"White"
"123","Antoine Jean Gros",11,2001,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4700047237,33,0,0,"White"
"124","Antoine Jean Gros",12,2005,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4456406046,33,0,0,"White"
"125","Antoine Jean Gros",13,2009,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5067110474,33,0,0,"White"
"126","Antoine Jean Gros",14,2013,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7292620159,33,0,0,"White"
"127","Antoine Jean Gros",15,2016,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6728003711,33,0,0,"White"
"128","Antoine Jean Gros",16,2020,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5395342415,33,0,0,"White"
"129","Arnold Böcklin",7,1980,"Swiss","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.4235857022,36,0,0,"White"
"130","Arshile Gorky",14,2013,"Armenian-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.36287427,37,9,13,"White"
"131","Arshile Gorky",15,2016,"Armenian-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.4458945415,37,9,14,"White"
"132","Arshile Gorky",16,2020,"Armenian-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.4347385862,37,9,16,"White"
"133","Arthur B. Davies",1,1926,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3973601261,38,0,0,"White"
"134","Arthur Dove",14,2013,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4379825251,39,3,9,"White"
"135","Arthur Dove",15,2016,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3123550332,39,3,11,"White"
"136","Arthur Dove",16,2020,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3796944035,39,3,11,"White"
"137","Aubrey Beardsley",8,1986,"British","British","Male","White","Not Hispanic or Latino origin","Gardner",0.426428917,40,2,0,"White"
"138","Aubrey Beardsley",10,1996,"British","British","Male","White","Not Hispanic or Latino origin","Gardner",0.3182019713,40,2,0,"White"
"139","Aubrey Beardsley",11,2001,"British","British","Male","White","Not Hispanic or Latino origin","Gardner",0.2157534247,40,2,0,"White"
"140","Aubrey Beardsley",12,2005,"British","British","Male","White","Not Hispanic or Latino origin","Gardner",0.2144117021,40,2,0,"White"
"141","Aubrey Beardsley",13,2009,"British","British","Male","White","Not Hispanic or Latino origin","Gardner",0.264589401,40,2,0,"White"
"142","Audrey Flack",11,2001,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.452231932,41,0,1,"White"
"143","Audrey Flack",12,2005,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.3611440562,41,0,1,"White"
"144","Audrey Flack",13,2009,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.2694281355,41,0,1,"White"
"145","Audrey Flack",14,2013,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.3978241105,41,0,1,"White"
"146","Audrey Flack",15,2016,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.2930570589,41,0,1,"White"
"147","Audrey Flack",16,2020,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.2939218213,41,0,2,"White"
"148","August Sander",9,1991,"German","German","Male","White","Not Hispanic or Latino origin","Gardner",0.4114841849,42,3,0,"White"
"149","Auguste Renoir",1,1926,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5436613475,43,0,0,"White"
"150","Auguste Renoir",2,1936,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7485123708,43,0,0,"White"
"151","Auguste Renoir",3,1948,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.670695193,43,0,0,"White"
"152","Auguste Renoir",4,1959,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6456773499,43,1,0,"White"
"153","Auguste Renoir",5,1970,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.8916911274,43,1,0,"White"
"154","Auguste Renoir",6,1975,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.8879179575,43,1,0,"White"
"155","Auguste Renoir",7,1980,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5754995778,43,1,0,"White"
"156","Auguste Renoir",8,1986,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.594305066,43,1,0,"White"
"157","Auguste Renoir",9,1991,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3576642336,43,1,0,"White"
"158","Auguste Renoir",10,1996,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.6021281675,43,1,0,"White"
"159","Auguste Renoir",11,2001,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4673919462,43,1,0,"White"
"160","Auguste Renoir",12,2005,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4755496761,43,1,0,"White"
"161","Auguste Renoir",13,2009,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4148059113,43,1,0,"White"
"162","Auguste Renoir",14,2013,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5415067881,43,1,0,"White"
"163","Auguste Renoir",15,2016,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.7689036648,43,1,0,"White"
"164","Auguste Renoir",16,2020,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5856498527,43,1,0,"White"
"165","Barbara Kruger",9,1991,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.4041849148,45,2,4,"White"
"166","Barbara Kruger",10,1996,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.3616520583,45,2,4,"White"
"167","Barbara Kruger",11,2001,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.3324870099,45,2,5,"White"
"168","Barbara Kruger",12,2005,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.28262324,45,2,6,"White"
"169","Barbara Kruger",13,2009,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.3224538856,45,2,8,"White"
"170","Barbara Kruger",14,2013,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.3984096898,45,2,11,"White"
"171","Barbara Kruger",15,2016,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.432472553,45,2,11,"White"
"172","Barbara Kruger",16,2020,"American","American","Female","White","Not Hispanic or Latino origin","Gardner",0.4360272459,45,2,12,"White"
"173","Barnett Newman",7,1980,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5289895863,46,2,7,"White"
"174","Barnett Newman",8,1986,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4267572051,46,2,7,"White"
"175","Barnett Newman",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3642822384,46,2,7,"White"
"176","Barnett Newman",10,1996,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3999693053,46,2,7,"White"
"177","Barnett Newman",11,2001,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3553229806,46,2,7,"White"
"178","Barnett Newman",12,2005,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.2499771919,46,2,10,"White"
"179","Barnett Newman",13,2009,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3947883439,46,2,13,"White"
"180","Barnett Newman",14,2013,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3962214723,46,2,15,"White"
"181","Barnett Newman",15,2016,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4175042524,46,2,17,"White"
"182","Barnett Newman",16,2020,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4146876534,46,2,18,"White"
"183","Ben Shahn",4,1959,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4565041745,48,3,22,"White"
"184","Ben Shahn",5,1970,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.2841611122,48,4,29,"White"
"185","Ben Shahn",6,1975,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3010575793,48,4,29,"White"
"186","Ben Shahn",7,1980,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3303546299,48,4,29,"White"
"187","Ben Shahn",8,1986,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3203400373,48,4,29,"White"
"188","Ben Shahn",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4959610706,48,4,29,"White"
"189","Ben Shahn",10,1996,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4872957948,48,4,29,"White"
"190","Benjamin West",7,1980,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3915705038,49,0,0,"White"
"191","Benjamin West",8,1986,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3444432926,49,0,0,"White"
"192","Benjamin West",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4273479319,49,0,0,"White"
"193","Benjamin West",10,1996,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.6106203745,49,0,0,"White"
"194","Benjamin West",11,2001,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5378778932,49,0,0,"White"
"195","Benjamin West",12,2005,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.455737007,49,0,0,"White"
"196","Benjamin West",13,2009,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3865594132,49,0,0,"White"
"197","Benjamin West",14,2013,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4347464287,49,0,0,"White"
"198","Benjamin West",15,2016,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3929024277,49,0,0,"White"
"199","Benjamin West",16,2020,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4035192685,49,0,0,"White"
"200","Bernard Buffet",10,1996,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2693973603,51,2,0,"White"
"201","Berthe Morisot",10,1996,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.4741823267,52,0,0,"White"
"202","Berthe Morisot",11,2001,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.3666745394,52,0,0,"White"
"203","Berthe Morisot",12,2005,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.479655141,52,0,0,"White"
"204","Berthe Morisot",13,2009,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.3953585132,52,0,0,"White"
"205","Berthe Morisot",14,2013,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.3762655448,52,0,0,"White"
"206","Berthe Morisot",15,2016,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.3965053348,52,0,0,"White"
"207","Berthe Morisot",16,2020,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.4089500491,52,0,0,"White"
"208","Boris Maluev",8,1986,"Russian","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.3298085562,54,0,0,"White"
"209","Bridget Riley",5,1970,"British","British","Female","White","Not Hispanic or Latino origin","Gardner",0.3369114858,56,0,0,"White"
"210","Bridget Riley",6,1975,"British","British","Female","White","Not Hispanic or Latino origin","Gardner",0.3700459353,56,0,0,"White"
"211","Bridget Riley",7,1980,"British","British","Female","White","Not Hispanic or Latino origin","Gardner",0.321383338,56,0,0,"White"
"212","Bridget Riley",8,1986,"British","British","Female","White","Not Hispanic or Latino origin","Gardner",0.2342248946,56,0,0,"White"
"213","Bridget Riley",10,1996,"British","British","Female","White","Not Hispanic or Latino origin","Gardner",0.2149312779,56,0,0,"White"
